title,text,rating,date_original,year,month,visit_category,language,tokens_count,keywords,id,sentiment_overall,sentiment_score,type,review.review_id,review.title,review.text,review.rating,review.date_original,review.year,review.month,review.visit_category,review.language,review.sentiment.overall,review.sentiment.score,review.tokens_count,review.keywords,data,dtitle,name,source_id,review_id,business_unit,trip_type,author.name,author.country,location.name,location.city,location.country,tour_id,reviews,isFake,fakeReason,data.title,data.text,data.rating,data.date_original,data.year,data.month,data.visit_category,data.language,data.sentiment.overall,data.sentiment.score,data.tokens_count,data.keywords,detailed,año,mes,titulo,texto,calificación,fecha_original,categoría_visita,idioma,conteo_tokens,palabras_clave,sentimiento.general,sentimiento.puntuación,detailed_analysis.step_1_review_id,detailed_analysis.step_2_title,detailed_analysis.step_3_text,detailed_analysis.step_4_rating,detailed_analysis.step_5_date,detailed_analysis.step_6_language,detailed_analysis.step_7_sentiment,detailed_analysis.step_8_tokens_count,detailed_analysis.step_9_keywords,final_output.title,final_output.text,final_output.rating,final_output.date_original,final_output.year,final_output.month,final_output.visit_category,final_output.language,final_output.sentiment.overall,final_output.sentiment.score,final_output.tokens_count,final_output.keywords,a,b,c,d_original,e,f,g,h,l,m,i.j,i.k,tags,reviewer.name,reviewer.country,reviewer.total_reviews,property.property_id,property.property_name,property.brand,property.address,property.stars,property.property_type,stay.check_in,stay.nights_stayed,stay.room_type,stay.num_guests,stay.num_rooms,stay.purpose,stay.travelers,ratings.cleanliness,ratings.comfort,ratings.location,ratings.facilities,ratings.staff,ratings.value_for_money,ratings.wifi,ratings.avg_rating,ratings.max_rating,trip_info.source,trip_info.trip_type,trip_info.device,trip_info.helpful_votes,a2,reviewId,author,authorUrl,authorImage,review,ratingDate,numHelpful,labels,pics,reviewLink,pubdate,is_verified,source,hotel_name,city,country,gfg,gpt,prompt_tokens,completion_tokens,total_tokens,stays,trip_date,trip_composition,stay_duration,languages,version,photos,helpful_count,responses,product_info,reviewer.user_image,reviewer.username,reviewer.url,reviewer.age_group,reviewer.language,reviewer.is_verified,reviewer.contributions,reviewer.location,reviewer.first_review,reviewer.last_review,reviewed.id,reviewed.title,reviewed.description,reviewed.url,reviewed.photo_count,reviewed.location,dates.review,dates.property,dates.collected,duplicated,similarity_score,original_review_id,reviewer_similarity_score,metadata.reviewer_name,metadata.reviewer_location,metadata.reviewer_contribution_count,metadata.reviewer_helpful_count,metadata.reviewer_avatar,stars,date,required,properties.title.type,properties.text.type,properties.rating.type,properties.date_original.type,properties.year.type,properties.month.type,properties.visit_category.enum,properties.language.type,properties.sentiment.type,properties.sentiment.properties.overall.enum,properties.sentiment.properties.score.type,properties.sentiment.required,properties.tokens_count.type,properties.keywords.type,properties.keywords.items.type,a5d5a,gpt4o,total_reviews,detailed_analysis,dtext,drating,ddate_original,dyear,dmonth,dvisit_category,dlanguage,dtokens_count,dkeywords,dsentiment.doverall,dsentiment.dscore,d1e1a2c,t,r,d_o,y,v_c,t_c,k,s.o,s.sc,reviewer,reviewer_city,reviewer_country,dato_original,d11a2b3c,d,dual,message,properties.visit_category.type,properties.sentiment.properties.overall.type,properties.sentiment.properties.score.minimum,properties.sentiment.properties.score.maximum,properties.keywords.minItems,properties.keywords.maxItems,d7e4b1a,a123,titl3,categoria_visita,sentimiento.puntaje,groomer_id,groomer_name,groomer_image_thumb
You have to go! Just be careful with the restaurant!,"Perfect! Beautiful organized museum works, beautiful local! Careful with the works, very kind staff! It was just boring the restaurant service! It's not worth it",5.0,"Written June 21, 2025",2025.0,June,Unknown,en,32.0,"['museum', 'staff', 'service', 'restaurant', 'local', 'organized', 'works', 'kind', 'boring', 'careful']",341,positive,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnificent collection of pre-Inka pottery,"This museum has possibly the best assemblage of pre-Inka vessels. Nearly 100 years old it boasts numberless pieces that are veritable chefs d’oeuvre. Particularly remarkable are the pots coming from the Mochica region (N Perú) among them quite a few world known. It’s a pity that most of the artefacts come from the looting of sites and, therefore, more detailed information about them is lacking.",5.0,"Written June 18, 2025",2025.0,June,Unknown,en,88.0,"['museum', 'preinka', 'pottery', 'vessels', 'mochica', 'region', 'pots', 'artefacts', 'looting', 'chefs', 'douvre']",342,positive,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More of the same,I expected more from the museum for being referenced as a visiting option in Lima. Of so much that it was empty (only 03 visitors) when we went. Won't come back.,3.0,"Written June 11, 2025",2025.0,June,Unknown,en,36.0,"['museum', 'lima', 'visiting', 'empty', 'visitors', 'come', 'back']",343,negative,-0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great private tour of Lima,"Maricarmen was our guide and Jorge our driver. We had a lovely time in Lima. I would thoroughly recommend this tour! As well as visiting the sites listed in the itinerary, we had a great lunch at a very nice restaurant.",5.0,Sep 2025 • Couples,2025.0,September,Couple,en,49.0,"['maricarmen', 'guide', 'jorge', 'driver', 'lima', 'tour', 'recommend', 'lunch', 'restaurant', 'itinerary']",344,positive,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perfect day exploring Lima,"Nathaly was our guide and Jorge, our driver. We had the most amazing time. Both Nathaly and Jorge were extremely knowledgeable, friendly, and helpful. I am quite confident I would not have been able to cover as much of Lima on our own. My favorites were the Larco museum & the view from Morro Solar. They answered all of our questions and were extremely flexible.",5.0,"Written July 31, 2025",2025.0,July,Unknown,en,76.0,"['nathaly', 'jorge', 'lima', 'larco', 'museum', 'morro', 'solar', 'guide', 'driver', 'flexible']",345,positive,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perfect full day in Lima,"Mily and George were great guides! They were informative, friendly, and kind. We all enjoyed our full day Lima tour before heading back home on a late-night flight. The tour was the perfect way to see a lot of Lima all in one day.",5.0,Jul 2025 • Family,2025.0,July,Family,en,64.0,"['lima', 'tour', 'mily', 'george', 'guides', 'friendly', 'informative', 'kind', 'enjoyed', 'perfect']",346,positive,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantastic day in Lima,"My husband and I had a fantastic experience. Our guide (Milagros) was very knowledgeable and made our day a great adventure! Our driver, Jorge, was amazing and super accommodating.",5.0,Jun 2025 • Family,2025.0,June,Family,en,38.0,"['husband', 'fantastic', 'experience', 'guide', 'milagros', 'knowledgeable', 'adventure', 'driver', 'jorge', 'accommodating']",347,positive,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorgeous city of Lima  with amazing history and architecture !,"Spent the day touring the beautiful  city of Lima with amazing history, culture, and architecture! Thanks to Mariacarmen and our driver Ismael which were really the highlights of making our day of adventure so memorable ! Thank you mi Amiga y Amigo",5.0,"Written May 12, 2025",2025.0,May,Unknown,en,62.0,"['lima', 'city', 'history', 'architecture', 'culture', 'mariacarmen', 'driver', 'ismael', 'adventure', 'memorable']",348,positive,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wonderful,"We had one day in Lima and the tour took us everywhere we wanted to go.  Our tour guide, Nathaly, was amazing.  Her immense knowledge of the city history and architecture was wonderful.  At the museum Larco she was able to really go through the history of Peru using the artifacts that gave a great understanding of the country’s past.  I wouldn’t have gotten nearly as much out of it on my own.  Our driver, Jorge, was absolutely lovely.  I highly recommend this tour!",5.0,May 2025 • Family,2025.0,May,Family,en,68.0,"['lima', 'nathaly', 'tour', 'jorge', 'museum', 'larco', 'peru', 'history', 'guide', 'driver']",349,positive,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An Incredible Experience from Start to Finish,"This tour was truly unforgettable! Everything was perfectly organized, relaxing, and fun from the moment we were picked up. Our driver, Coqui, made us feel safe and comfortable the whole day, and Charo, our tour guide, was simply amazing-so warm, knowledgeable, and passionate. The whole experience felt special and personalized, and we couldn't have asked for a better team. Highly recommend this tour to anyone looking to make the most out of their time and walk away with great memories!",5.0,Apr 2025 • Friends,2025.0,April,Friends,en,85.0,"['tour', 'coqui', 'charo', 'guide', 'organized', 'safe', 'memories', 'fun', 'personalized', 'recommend']",350,positive,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Tour,We had an amazing tour in Lima. We saw most of the major sights. Our tour guide was so friendly and knowledgeable as was our driver. I highly recommend this tour.,5.0,Mar 2025 • Friends,2025.0,March,Friends,en,37.0,"['tour', 'lima', 'guide', 'driver', 'friendly', 'knowledgeable', 'sights', 'recommend']",351,positive,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exceptional all day tour experience of Lima,"One of the most professional tour companies we have worked with impressed us right from the start with their clear and responsive communication, especially with our tour guide, Lourdes, and our driver, Koki. Lourdes picked us up on time at our hotel and guided us on an entire day of touring Lima. As it was our first visit to the city, this all-day tour provided us with an exceptional opportunity to experience everything Lima has to offer.The small details can really enhance your experience, and upon arrival, we were amazed at how spotless and comfortable the van was—it felt like it had just been purchased. Koki took great pride in maintaining the van and navigated the complex streets of Lima with professionalism. He was always ready to pick us up and safely transport us to our next destination.Lourdes’s extensive knowledge and genuine concern for our comfort made a significant difference in our experience. She had even reserved a table for us at the Museo Larco—a stunning venue for lunch or dinner. We grew so close to both Lourdes and Koki that we invited them to be our guests for lunch, and they shared even more insight into Lima and Peru, particularly about the delicacies on the menu.We were sad to see our time with them come to an end, and we highly recommend Integrity Tours, along with our tour guide, Lourdes, and driver, Koki.",5.0,Mar 2025 • Couples,2025.0,March,Couple,en,241.0,"['lima', 'lourdes', 'koki', 'tour', 'integrity', 'guide', 'driver', 'museo', 'larco', 'van', 'professional', 'comfortable']",352,positive,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soo beautiful Lima!!,Veryyy interesting tour!! We learn a lot about peruvian history and culture!!! Gabby did an amazing job explaining everything about her country!! We love her!! Also our driver Jorge did an awesome job!! We totally recommeded this tour.,5.0,Mar 2025 • Family,2025.0,March,Family,en,47.0,"['lima', 'tour', 'gabby', 'peruvian', 'history', 'culture', 'driver', 'jorge', 'recommended']",353,positive,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Best time !!!,Had an amazing experience !! would highly recommend . I suggest that you should do this bike tour on your first or second day of being in Lima Peru you got to see so much.,5.0,"Written September 23, 2025",2025.0,September,Unknown,en,36.0,"['amazing', 'experience', 'recommend', 'bike', 'tour', 'lima', 'peru', 'first', 'second', 'day']",354,positive,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A great way of seeing Lima,"We saw a small group of cyclists with a guide in the Barranco district  of Lima and spoke to the guide deciding we would do the bike tour with them the next day which we duly did. It was tricky finding the start of the tour as it is in a market area and the gates were locked so we were directed around rather block. Eventually we found it and provided with good,sturdy bikes opting for helmets and met Diego again. We set off for the pyramid using the cycle lanes which felt very safe. The pyramid looked amazing right in the centre of a built up area. We then rode to the lovers view, via Miraflores then to Barranco district. We opted for an extension to the Christ statue and cross on the hill.It was all very flat and Diego was excellent with his knowledge of the history of the districts, city of Lima and Peru- it was a tour I would heavily recommend.",5.0,Apr 2025 • Couples,2025.0,April,Couple,en,119.0,"['lima', 'bike', 'tour', 'diego', 'barranco', 'miraflores', 'pyramid', 'cycle', 'safe', 'history']",355,positive,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excellent bike tour of Lima,"Excellent bike tour of the Miraflores and Barranco areas of Lima. We visited the pre-Inca pyramid, a beautiful park on the coast (parc de l’amour) and the charming neighborhood of Barranco. Most of the route was on dedicated bike paths or bike lanes, and the route was easy and relatively flat. Our guide (Diego) was very knowledgeable and provided commentary in English and Spanish. Highly recommended.",5.0,"Written April 20, 2025",2025.0,April,Unknown,en,98.0,"['bike', 'tour', 'lima', 'miraflores', 'barranco', 'diego', 'guide', 'pyramid', 'bike', 'paths', 'park', 'coast']",356,positive,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great bike tour,"Great way to spend an afternoon, our guide Diego was the best and was happy to answer any questions or just chat. Skillfully guided us through the area and bought us some of the best gelato.  Highly recommended",5.0,Mar 2025 • Friends,2025.0,March,Friends,en,38.0,"['bike', 'tour', 'diego', 'guide', 'gelato', 'recommended', 'chat', 'questions', 'afternoon']",357,positive,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledgeable Guide and Good Bikes,Very knowledgeable guide! He was able to describe the history and politics of Peru and could put what we saw in context. Good quality bikes too!,4.0,"Written March 18, 2025",2025.0,March,Unknown,en,31.0,"['knowledgeable', 'guide', 'history', 'politics', 'peru', 'bikes', 'quality', 'context']",358,positive,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great biking in Lima,Great tour with an enthousiastic host who was professional and also funny. We learned a lot of history in a relaxed way. We enjoyed it very much. Thank you!,5.0,"Written December 31, 2024",2024.0,December,Unknown,en,38.0,"['great', 'tour', 'host', 'professional', 'funny', 'learned', 'history', 'relaxed', 'enjoyed']",359,positive,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easy cycle,Guide was very good and the drink was a nice touch. I would have liked to do a bit more cycling but apart from that all good and enjoyed,4.0,Nov 2024 • Solo,2024.0,November,Solo,en,37.0,"['guide', 'cycling', 'drink', 'touch', 'liked', 'enjoyed']",360,positive,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Awesome tour of Barranco,"The Fall in Love with Barranco tour was an awesome experience. First of all, because our flight was 2 hours late from Juliaca, Beto worked with us to reschedule the tour for an hour and 15 minutes later. Then Choji took it from there and led our family on the absolute highlight of our time in Lima…he was simply fantastic and sent us a bunch of pictures. Highly recommend GOGO Biking and especially Choji!",5.0,"Written June 25, 2024",2024.0,June,Family,en,96.0,"['barranco', 'choji', 'tour', 'beto', 'gogo', 'biking', 'flight', 'family', 'lima', 'highlight', 'recommend']",361,positive,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worth it!!,"we spent our last afternoon in Peru on this bike tour— it was a beautiful day and a fun way to zip around and see the Miraflores and Barranco neighborhoods while getting a little bit of history that we wouldn’t have gotten on our own. Very safe annd comfy bikes,  informative and fun guide! ( but not tooo chatty that it stoped us up from scooting around and seeing lots of beautiful spots)  totally recommend you add this to your Lima to-do list.",5.0,May 2024 • Family,2024.0,May,Family,en,99.0,"['bike', 'tour', 'miraflores', 'barranco', 'peru', 'guide', 'safe', 'comfy', 'fun', 'lima']",362,positive,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fun bike ride!,"Really enjoyed the bike tour, good quality bikes, our guide Kral was great, very easy riding, mostly on bike routes. Very fun!",5.0,"Written April 18, 2024",2024.0,April,Unknown,en,25.0,"['bike', 'tour', 'kral', 'guide', 'riding', 'routes', 'fun', 'quality', 'enjoyed']",363,positive,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great experience!,"This was a lovely and informative tour of the local market - which sells practically everything - with advice and many tastings. Then we went to the kitchen and cooked 3 different Peruvian dishes - which we also ate. Cesar is funny and helpful, and Carina showed us how to make all the dishes. You will be full at the end so arrive hungry! I woukd recommend the tour",5.0,Sep 2025 • Couples,2025.0,September,Couple,en,76.0,"['tour', 'market', 'tastings', 'cooked', 'peruvian', 'dishes', 'cesar', 'carina', 'kitchen', 'recommend']",364,positive,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excellent experience tasting typical fruits and foods,"Excellent experience eating typical Peruvian foods in Lima markets such as ceviche, chaufa with fish, and tropical fruits such as chirimoya, granadilla, tumbo, pitaya, lucuma and aguaymanto. We end up taking a walk in the neighborhood of Barranco. Very didactic the explanations of Gaby our guide and excellent driver driving Cyril.",5.0,Sep 2025 • Family,2025.0,September,Family,en,76.0,"['ceviche', 'chaufa', 'barranco', 'gaby', 'guide', 'cyril', 'driver', 'peruvian', 'fruits', 'foods']",365,positive,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tasty treats & local beats,"We were VERY BLESSED to have Leonardo for both days. We toured the historical district with the presidential mansion & the church in the town center. Leonardo was vibrant, knowledgeable and a true pleasure to have as a guide. On the food tour he was happy to help us with adjustments, played local music for us while riding to the next stop and answered all our questions with enthusiasm. TOP NOTCH GUIDE!!!",5.0,Sep 2025 • Friends,2025.0,September,Friends,en,87.0,"['leonardo', 'guide', 'tours', 'food', 'local', 'music', 'historical', 'district', 'presidential', 'mansion']",366,positive,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
